# param	lower_bound	upper_bound
X_tot__FREE	2.55001713812	60.7250270701
k_Xoff__FREE	1.44776372279e-07	4.09091987588e-06
k_Xon__FREE	93906.6365826	2167237.34662
kase__FREE	1.0647835427	59.9191212029
kdegX__FREE	0.000272353476605	0.000426160388931
kdegran__FREE	28499.7877666	1327228.24649
km_Ship1__FREE	0.000994715554188	0.00193935696493
km_Syk__FREE	0.0819749806122	3.11727173733
km_x__FREE	0.0232425310825	0.847156345721
koff__FREE	0.00301298022852	0.0309761262581
kp_Ship1__FREE	3624.21757572	13571.1175479
kp_Syk__FREE	63040.5054916	2664552.06374
kp_x__FREE	145006.389441	7787491.847
kpten__FREE	0.000660700520597	0.00608504688643
ksynth1__FREE	0.00296713515023	0.122059279419
pase__FREE	0.0246889891828	0.695714661286
