# param	lower_bound	upper_bound
X_tot__FREE	1.17465308162	356.163104892
k_Xoff__FREE	1.59419624035e-08	1.84634285552e-05
k_Xon__FREE	53817.3339936	12050230.1726
kase__FREE	0.181107354374	482.243127636
kdegX__FREE	0.000225669968335	0.000585492490285
kdegran__FREE	6096.66278978	7998909.49107
km_Ship1__FREE	0.000809738411832	0.00285483618086
km_Syk__FREE	0.0189389620757	18.3331680566
km_x__FREE	0.00218884043552	4.30383404085
koff__FREE	0.00182267984434	0.132252548047
kp_Ship1__FREE	2154.16188222	24262.4436547
kp_Syk__FREE	7409.15881229	19610974.1888
kp_x__FREE	22370.0771099	52005459.5509
kpten__FREE	0.000187626604008	0.0121182871658
ksynth1__FREE	0.000552905857099	0.803981075661
pase__FREE	0.00607746342476	4.46340096768
