# param	lower_bound	upper_bound
X_tot__FREE	2.34502591325	57.8045095724
k_Xoff__FREE	1.18355213914e-07	4.02967912633e-06
k_Xon__FREE	94180.9450055	2016880.4549
kase__FREE	1.14032895903	63.3303014493
kdegX__FREE	0.000267148126379	0.00042357754021
kdegran__FREE	33778.940292	1517178.25028
km_Ship1__FREE	0.00101394058575	0.00195806961389
km_Syk__FREE	0.0754121858506	2.88803899189
km_x__FREE	0.0141117817383	0.731763819986
koff__FREE	0.00296636278652	0.0295317975655
kp_Ship1__FREE	3640.11494282	13544.9574528
kp_Syk__FREE	47223.446752	2615158.56029
kp_x__FREE	134575.268764	6148584.6968
kpten__FREE	0.000648075875002	0.00596736388558
ksynth1__FREE	0.00278457795165	0.116108206993
pase__FREE	0.0224297298907	0.742125397885
