# param	lower_bound	upper_bound
X_tot__FREE	1.23757327891	360.156356557
k_Xoff__FREE	2.30760138055e-08	1.68517784695e-05
k_Xon__FREE	53951.8115527	13316905.8451
kase__FREE	0.199907127767	377.746007709
kdegX__FREE	0.000227023833272	0.000601138242691
kdegran__FREE	5803.34388825	7705621.23721
km_Ship1__FREE	0.000797677952468	0.00284716061672
km_Syk__FREE	0.0172696324158	20.641808408
km_x__FREE	0.00301378178938	4.55189894327
koff__FREE	0.00183719618539	0.136307593888
kp_Ship1__FREE	2125.66277548	24081.7699052
kp_Syk__FREE	11164.494519	20161983.7863
kp_x__FREE	25969.0342565	70958793.7011
kpten__FREE	0.000210976690904	0.0116684197885
ksynth1__FREE	0.000564665513086	0.835282329828
pase__FREE	0.00688389264735	4.7970046006
