# param	lower_bound	upper_bound
X_tot__FREE	2.55881923052	100.723475553
k_Xoff__FREE	1.59324333469e-07	4.57264033541e-06
k_Xon__FREE	105734.175739	2285003.65739
kase__FREE	0.952302531887	52.4578433707
kdegX__FREE	0.000272187414348	0.000458018414233
kdegran__FREE	44167.2099326	1797343.08737
km_Ship1__FREE	0.000990170724896	0.00206266702461
km_Syk__FREE	0.0781279072341	2.9430039163
km_x__FREE	0.01371947852	0.796722432367
koff__FREE	0.00301545527273	0.0323894371325
kp_Ship1__FREE	3980.67701398	16007.3626392
kp_Syk__FREE	50327.3993283	3894420.30978
kp_x__FREE	113515.764127	7075846.05895
kpten__FREE	0.000823211138918	0.00701839740439
ksynth1__FREE	0.00327214833734	0.0884555501669
pase__FREE	0.0238096675085	0.8122384733
