# param	lower_bound	upper_bound
X_tot__FREE	1.25901062151	34461.2609561
k_Xoff__FREE	1.82926915799e-08	1.60451832251e-05
k_Xon__FREE	57655.953015	14948133.0714
kase__FREE	0.199624129223	523.65091693
kdegX__FREE	0.000228857910868	0.0513176724664
kdegran__FREE	8482.31634956	10300513.1829
km_Ship1__FREE	0.000704325931982	0.0330213689353
km_Syk__FREE	0.0152842080093	18.9592265572
km_x__FREE	0.00180029037755	6.54658669157
koff__FREE	0.00165991735231	0.169887700108
kp_Ship1__FREE	2244.45659648	14763119.3194
kp_Syk__FREE	3555.98012063	20536747.2191
kp_x__FREE	17123.6958017	56061856.9573
kpten__FREE	0.000230717577091	0.0201570596457
ksynth1__FREE	0.000516398906193	0.533336838979
pase__FREE	0.00635728474241	16.1569574624
