Permutation Chi-Sq km10__FREE km11__FREE km12__FREE km13__FREE km14__FREE km15__FREE km16__FREE km17__FREE km18__FREE km19__FREE km1__FREE km20__FREE km21__FREE km22__FREE km23__FREE km24__FREE km2__FREE km3__FREE km9__FREE kp10__FREE kp11__FREE kp12__FREE kp13__FREE kp14__FREE kp15__FREE kp17__FREE kp18__FREE kp19__FREE kp1__FREE kp20__FREE kp21__FREE kp22__FREE kp23__FREE kp24__FREE kp2__FREE kp3__FREE kp9__FREE
gen1751perm15 0.2133898554734693 7.54224238e-02 1.29956986e-02 1.56741527e-03 7.77390190e-04 2.82202012e-01 8.03643453e+00 3.57516803e-03 1.03950169e-01 3.22020954e-03 1.52165979e-01 7.40901783e-02 2.94500896e-02 1.43321404e+00 3.33328663e-03 2.27040959e-02 1.03755551e-01 1.12406075e-01 1.17098089e+00 1.19606954e+01 1.57192725e-06 3.31037983e-06 2.11075411e-08 3.26533649e-05 5.28312558e-01 1.06455424e-07 3.55761833e-07 7.87636614e-07 3.12409319e-07 2.01194349e-05 2.24424088e-08 2.49109436e-08 2.72286647e-06 5.49267561e-07 6.77127872e-05 6.01677130e-06 1.46105858e-01 3.62544692e-07
gen1751perm118 0.2139552065830297 7.47206749e-02 1.35184722e-02 1.50143872e-03 8.31395067e-04 2.89409982e-01 8.08531979e+00 3.59399124e-03 1.10931273e-01 3.31508713e-03 1.55771099e-01 7.15229834e-02 2.50182289e-02 1.20365621e+00 3.00755508e-03 2.26390265e-02 1.00157172e-01 1.12406075e-01 1.17098089e+00 1.30219551e+01 1.56865319e-06 3.35785248e-06 2.03351785e-08 3.43560419e-05 5.28312558e-01 9.73789718e-08 4.41958342e-07 6.91915291e-07 2.94352679e-07 2.31045252e-05 2.71502980e-08 2.65523050e-08 2.53564954e-06 5.46259883e-07 6.77127872e-05 6.01677130e-06 1.46105858e-01 3.45934036e-07
gen1751perm26 0.2140592387579383 7.48237450e-02 1.25897785e-02 1.56741527e-03 8.39182399e-04 3.16070916e-01 7.78513974e+00 3.59399124e-03 1.17090546e-01 3.31508713e-03 1.54940551e-01 7.40901783e-02 2.56471768e-02 1.20365621e+00 3.00755508e-03 2.26390265e-02 1.09445739e-01 1.12406075e-01 1.17098089e+00 1.16182528e+01 1.48983747e-06 3.32351973e-06 1.96868318e-08 3.29777699e-05 5.28312558e-01 9.73789718e-08 4.41958342e-07 6.59741113e-07 3.07632332e-07 2.21436377e-05 2.87411280e-08 2.65523050e-08 2.44509656e-06 5.49880171e-07 6.73582974e-05 6.01677130e-06 1.46105858e-01 3.91460600e-07
gen1751perm5 0.2140857515961921 7.54224238e-02 1.29538423e-02 1.47790746e-03 8.34260355e-04 3.14598225e-01 7.84699558e+00 3.62123995e-03 1.12657884e-01 3.87190438e-03 1.52165979e-01 8.21300656e-02 3.07751867e-02 1.40826963e+00 2.94053112e-03 2.19879409e-02 1.01921275e-01 1.12406075e-01 1.17098089e+00 1.09501909e+01 1.70740900e-06 3.31037983e-06 1.92448038e-08 3.32049806e-05 5.20245187e-01 9.73789718e-08 4.18247181e-07 7.30576916e-07 3.08339823e-07 2.19776048e-05 3.32964151e-08 2.96935678e-08 2.61682402e-06 5.24253277e-07 6.77127872e-05 6.01677130e-06 1.46105858e-01 3.93840144e-07
gen1751perm82 0.2142289046433540 7.54224238e-02 1.30781024e-02 2.02130888e-03 7.76000953e-04 2.68188130e-01 7.84699558e+00 3.52725990e-03 1.08348615e-01 5.33597263e-03 1.56604275e-01 8.21300656e-02 2.75262986e-02 1.37528135e+00 3.41063245e-03 2.26684285e-02 1.09970153e-01 1.12234742e-01 1.17098089e+00 1.16182528e+01 1.22908582e-06 3.32244836e-06 1.99307926e-08 3.25325132e-05 5.28312558e-01 1.01366488e-07 3.65952797e-07 7.87636614e-07 3.11862845e-07 3.57412444e-05 3.15253702e-08 2.49109436e-08 2.65503053e-06 5.14436784e-07 6.77127872e-05 6.01677130e-06 1.46105858e-01 3.83563078e-07
gen1751perm55 0.2143495976278544 7.47206749e-02 1.23234769e-02 1.56741527e-03 8.76689134e-04 2.64670331e-01 7.78513974e+00 3.79228456e-03 1.10931273e-01 3.87190438e-03 1.52165979e-01 7.76102156e-02 2.84574121e-02 1.37528135e+00 3.41063245e-03 2.21396384e-02 1.06880984e-01 1.12214433e-01 1.16841389e+00 1.29457466e+01 1.77916472e-06 3.31037983e-06 2.07926038e-08 3.27197230e-05 5.28312558e-01 9.57394934e-08 3.90144734e-07 8.58842284e-07 3.11361870e-07 2.31045252e-05 2.06312881e-08 2.71851346e-08 2.35803382e-06 5.46259883e-07 6.64027842e-05 6.01677130e-06 1.46105858e-01 4.05562916e-07
gen1751perm116 0.2150936575413663 7.47206749e-02 1.26942388e-02 1.79438084e-03 7.77390190e-04 2.82202012e-01 7.78513974e+00 3.57516803e-03 1.12657884e-01 5.11303188e-03 1.52165979e-01 8.21300656e-02 2.75262986e-02 1.37528135e+00 3.23089062e-03 2.18127425e-02 1.03755551e-01 1.15413985e-01 1.17098089e+00 1.14470723e+01 1.52375770e-06 3.35508268e-06 1.96277497e-08 3.25325132e-05 5.22803057e-01 1.03321220e-07 3.90144734e-07 7.40532291e-07 3.11862845e-07 2.31045252e-05 3.40558341e-08 2.71851346e-08 2.57776209e-06 5.31395197e-07 6.77127872e-05 6.23965686e-06 1.46105858e-01 3.74874775e-07
gen1751perm21 0.2154375798845869 7.54224238e-02 1.18474032e-02 2.12270173e-03 9.06625487e-04 2.83789265e-01 7.78513974e+00 3.52725990e-03 1.05930040e-01 5.35185136e-03 1.50426031e-01 7.70738870e-02 2.75224482e-02 1.36354053e+00 3.61284747e-03 2.26390265e-02 1.03755551e-01 1.12947048e-01 1.16841389e+00 1.25116488e+01 1.49667912e-06 3.31037983e-06 2.08292969e-08 3.43560419e-05 5.29318094e-01 1.01366488e-07 4.41958342e-07 6.63614205e-07 3.22356912e-07 2.52817812e-05 2.54347646e-08 2.49109436e-08 2.53564954e-06 5.46259883e-07 6.73582974e-05 5.94521824e-06 1.46105858e-01 4.09602715e-07
gen1751perm39 0.2155381283816561 7.53424033e-02 1.31385589e-02 2.12270173e-03 7.86906653e-04 2.80807849e-01 7.84699558e+00 3.59399124e-03 1.05930040e-01 4.65694993e-03 1.50426031e-01 7.00650457e-02 3.13810711e-02 1.40826963e+00 3.20566079e-03 2.21206083e-02 1.03755551e-01 1.12077080e-01 1.17098089e+00 1.35430123e+01 1.63936965e-06 3.35508268e-06 1.88861392e-08 3.25325132e-05 5.28312558e-01 9.56174473e-08 3.53375391e-07 7.53189332e-07 2.90621409e-07 2.39005163e-05 3.17454620e-08 2.29957404e-08 2.65547335e-06 4.82777244e-07 6.86845249e-05 6.12482285e-06 1.46105858e-01 3.44256287e-07
gen1751perm41 0.2156669358985367 7.54224238e-02 1.23234769e-02 1.69515748e-03 7.76000953e-04 2.93600716e-01 7.75185754e+00 3.59399124e-03 1.10931273e-01 4.81531975e-03 1.50426031e-01 8.21300656e-02 2.86275488e-02 1.38731344e+00 3.17687541e-03 2.10159625e-02 9.99523086e-02 1.12234742e-01 1.17098089e+00 1.25047759e+01 1.88160971e-06 3.35508268e-06 2.14069961e-08 3.25325132e-05 5.28312558e-01 1.00208697e-07 3.23448054e-07 7.40532291e-07 3.11862845e-07 3.91305264e-05 3.16760081e-08 2.29375806e-08 2.65158121e-06 5.31395197e-07 6.77127872e-05 6.01677130e-06 1.46105858e-01 3.83563078e-07
