# log10_lower_bound	log10_upper_bound	count
2.241776116289340148e+00	2.595693311806901882e+00	1.300000000000000000e+01
2.595693311806901882e+00	2.949610507324464059e+00	4.700000000000000000e+01
2.949610507324464059e+00	3.303527702842025793e+00	2.070000000000000000e+02
3.303527702842025793e+00	3.657444898359587526e+00	6.400000000000000000e+02
3.657444898359587526e+00	4.011362093877149704e+00	1.855000000000000000e+03
4.011362093877149704e+00	4.365279289394711881e+00	3.542000000000000000e+03
4.365279289394711881e+00	4.719196484912273171e+00	5.414000000000000000e+03
4.719196484912273171e+00	5.073113680429834460e+00	7.551000000000000000e+03
5.073113680429834460e+00	5.427030875947396638e+00	8.768000000000000000e+03
5.427030875947396638e+00	5.780948071464958815e+00	9.002000000000000000e+03
5.780948071464958815e+00	6.134865266982520993e+00	7.504000000000000000e+03
6.134865266982520993e+00	6.488782462500083170e+00	5.138000000000000000e+03
6.488782462500083170e+00	6.842699658017643571e+00	2.720000000000000000e+03
6.842699658017643571e+00	7.196616853535205749e+00	1.112000000000000000e+03
7.196616853535205749e+00	7.550534049052767926e+00	2.900000000000000000e+02
7.550534049052767926e+00	7.904451244570330104e+00	9.600000000000000000e+01
7.904451244570330104e+00	8.258368440087892282e+00	7.600000000000000000e+01
8.258368440087892282e+00	8.612285635605452683e+00	2.200000000000000000e+01
8.612285635605452683e+00	8.966202831123014860e+00	2.000000000000000000e+00
8.966202831123014860e+00	9.320120026640577038e+00	1.000000000000000000e+00
