# param	lower_bound	upper_bound
X_tot__FREE	2.56451720889	91.2804074201
k_Xoff__FREE	1.33695225691e-07	4.24672349189e-06
k_Xon__FREE	106922.021897	2273120.15327
kase__FREE	1.04160595116	52.5719418795
kdegX__FREE	0.00027137215512	0.000455889876145
kdegran__FREE	40823.5418529	1706028.62873
km_Ship1__FREE	0.000985293940552	0.00200235623165
km_Syk__FREE	0.0590032317491	3.01142490887
km_x__FREE	0.0137942966273	0.699196875833
koff__FREE	0.0030127417538	0.0331228418878
kp_Ship1__FREE	3832.30316807	15769.9199221
kp_Syk__FREE	45420.4860835	2993786.55732
kp_x__FREE	108508.541697	7664410.21906
kpten__FREE	0.000788812347158	0.00674241294503
ksynth1__FREE	0.00335883053705	0.106858112274
pase__FREE	0.025099624188	0.875686161439
